ขั้นตอนการขอสอบประมวลความรู้ จะต้องดำเนินการอย่างไรบ้าง (เฉพาะนักศึกษาหลักสูตรพลังงาน แผน ข),ยื่นคำร้องออนไลน์ บว.30 ผ่าน gs forms ที่ https://forms.gs.kku.ac.th/ ก่อนวันสอบ 20 วัน และดำเนินการตามขั้นตอนที่กำหนด
ขั้นตอนการแจ้งผลการสอบประมวลความรู้ จะต้องดำเนินการอย่างไรบ้าง,พิมพ์ บว.32 จาก gs forms และให้คณะกรรมการลงนาม ส่งเอกสารที่หน่วยบัณฑิตศึกษา ภายใน 15 วันหลังสอบ
"Division of Research, Graduate, and International Affairs",https://www.en.kku.ac.th/web/%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%A7%E0%B8%B4%E0%B8%88/#1522814877646-72797800-215f
งานวิจัย บัณฑิตศึกษา และการต่างประเทศ,https://www.en.kku.ac.th/web/%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%A7%E0%B8%B4%E0%B8%88/#1522814877646-72797800-215f
รางวัลการตีพิมพ์เผยแพร่ผลงานวิจัยในระดับนานาชาติ,https://www.en.kku.ac.th/web/1-%E0%B8%A3%E0%B8%B2%E0%B8%87%E0%B8%A7%E0%B8%B1%E0%B8%A5%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%95%E0%B8%B5%E0%B8%9E%E0%B8%B4%E0%B8%A1%E0%B8%9E%E0%B9%8C%E0%B9%80%E0%B8%9C%E0%B8%A2%E0%B9%81%E0%B8%9E/
รางวัลผลงานวิจัยที่ได้รับสิทธิบัตร/อนุสิทธิบัตร/ลิขสิทธิ์,http://www.en.kku.ac.th/web/2-%E0%B8%A3%E0%B8%B2%E0%B8%87%E0%B8%A7%E0%B8%B1%E0%B8%A5%E0%B8%9C%E0%B8%A5%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%A7%E0%B8%B4%E0%B8%88%E0%B8%B1%E0%B8%A2%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B9%84%E0%B8%94%E0%B9%89/
รางวัลผลงานวิจัยหรืองานสร้างสรรค์ที่นำไปใช้ประโยชน์ และการเผยแพร่ความรู้สู่สังคม,http://www.en.kku.ac.th/web/3-%E0%B8%A3%E0%B8%B2%E0%B8%87%E0%B8%A7%E0%B8%B1%E0%B8%A5%E0%B8%9C%E0%B8%A5%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%A7%E0%B8%B4%E0%B8%88%E0%B8%B1%E0%B8%A2%E0%B8%AB%E0%B8%A3%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B8%B2/
รางวัลสนับสนุนการจัดทำข้อเสนอโครงการวิจัย บริการวิชาการและนวัตกรรม,http://www.en.kku.ac.th/web/4-%E0%B8%A3%E0%B8%B2%E0%B8%87%E0%B8%A7%E0%B8%B1%E0%B8%A5%E0%B8%AA%E0%B8%99%E0%B8%B1%E0%B8%9A%E0%B8%AA%E0%B8%99%E0%B8%B8%E0%B8%99%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%88%E0%B8%B1%E0%B8%94%E0%B8%97%E0%B8%B3/
รางวัลการอ้างอิงบทความ (Citation) ในฐานข้อมูล Scopus หรือ SCIE,http://www.en.kku.ac.th/web/5-%E0%B8%A3%E0%B8%B2%E0%B8%87%E0%B8%A7%E0%B8%B1%E0%B8%A5%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%AD%E0%B9%89%E0%B8%B2%E0%B8%87%E0%B8%AD%E0%B8%B4%E0%B8%87%E0%B8%9A%E0%B8%97%E0%B8%84%E0%B8%A7%E0%B8%B2/
ทุนเพื่อเข้าร่วมการนำเสนอผลงานวิจัยในการประชุมวิชาการนานาชาติ ทั้งในและต่างประเทศ,http://www.en.kku.ac.th/web/6-%E0%B8%97%E0%B8%B8%E0%B8%99%E0%B9%80%E0%B8%9E%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B9%80%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A3%E0%B9%88%E0%B8%A7%E0%B8%A1%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%99%E0%B8%B3/
ทุนวิจัยด้านวิศวกรรมโยธา,http://www.en.kku.ac.th/web/7-%E0%B8%97%E0%B8%B8%E0%B8%99%E0%B8%A7%E0%B8%B4%E0%B8%88%E0%B8%B1%E0%B8%A2%E0%B8%94%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%A7%E0%B8%B4%E0%B8%A8%E0%B8%A7%E0%B8%81/
ทุนวิจัยเพื่อส่งเสริมศักยภาพการผลิตบัณฑิตระดับปริญญาเอก,http://www.en.kku.ac.th/web/8-%E0%B8%97%E0%B8%B8%E0%B8%99%E0%B8%A7%E0%B8%B4%E0%B8%88%E0%B8%B1%E0%B8%A2%E0%B9%80%E0%B8%9E%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B9%80%E0%B8%AA%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B8%A8/
ทุนสมทบโครงการวิจัยที่ได้รับการสนับสนุนจากแหล่งทุนภายนอก,http://www.en.kku.ac.th/web/9-%E0%B8%97%E0%B8%B8%E0%B8%99%E0%B8%AA%E0%B8%A1%E0%B8%97%E0%B8%9A%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%A7%E0%B8%B4%E0%B8%88%E0%B8%B1%E0%B8%A2%E0%B8%97%E0%B8%B8%E0%B8%99/
ทุนกลุ่มวิจัย,http://www.en.kku.ac.th/web/10-%E0%B8%97%E0%B8%B8%E0%B8%99%E0%B8%81%E0%B8%A5%E0%B8%B8%E0%B9%88%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%88%E0%B8%B1%E0%B8%A2/
ทุนวิจัยสถาบัน,http://www.en.kku.ac.th/web/11-%E0%B8%97%E0%B8%B8%E0%B8%99%E0%B8%A7%E0%B8%B4%E0%B8%88%E0%B8%B1%E0%B8%A2%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%9A%E0%B8%B1%E0%B8%99/
ทุนวิจัยที่มีความร่วมมือกับเครือข่ายความร่วมมือทั้งภายในและต่างประเทศที่มีข้อตกลงร่วมกับคณะหรือมหาวิทยาลัย,http://www.en.kku.ac.th/web/12-%E0%B8%97%E0%B8%B8%E0%B8%99%E0%B8%A7%E0%B8%B4%E0%B8%88%E0%B8%B1%E0%B8%A2%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A1%E0%B8%B5%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%A3%E0%B9%88%E0%B8%A7%E0%B8%A1/
ทุนอุดหนุนการค้นคว้าและวิจัยในการทำวิทยานิพนธ์ ดุษฎีนิพนธ์หรือการศึกษาอิสระสำหรับนักศึกษาระดับบัณฑิตศึกษา และทุนอุดหนุนการทำโครงงานวิจัย (Project) สำหรับนักศึกษาระดับปริญญาตรี,http://www.en.kku.ac.th/web/13-%E0%B8%97%E0%B8%B8%E0%B8%99%E0%B8%AD%E0%B8%B8%E0%B8%94%E0%B8%AB%E0%B8%99%E0%B8%B8%E0%B8%99%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B9%89%E0%B8%99%E0%B8%84%E0%B8%A7%E0%B9%89%E0%B8%B2%E0%B9%81/
ทุนวิจัยเพื่อพัฒนาต้นแบบงานนวัตกรรม,http://www.en.kku.ac.th/web/14-%E0%B8%97%E0%B8%B8%E0%B8%99%E0%B8%A7%E0%B8%B4%E0%B8%88%E0%B8%B1%E0%B8%A2%E0%B9%80%E0%B8%9E%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%9E%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%B2%E0%B8%95%E0%B9%89%E0%B8%99/
ทุนวิจัยเพื่อส่งเสริมศักยภาพการผลิตบัณฑิตระดับปริญญาโท,http://www.en.kku.ac.th/web/15-%E0%B8%97%E0%B8%B8%E0%B8%99%E0%B8%A7%E0%B8%B4%E0%B8%88%E0%B8%B1%E0%B8%A2%E0%B9%80%E0%B8%9E%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B9%80%E0%B8%AA%E0%B8%A3%E0%B8%B4%E0%B8%A1/
การสนับสนุนการตีพิมพ์ผลงานวิจัยในวารสารวิชาการระดับนานาชาติ  มหาวิทยาลัยขอนแก่น,https://rad.kku.ac.th/Menu_support/publication.php
ทุนเพื่อเข้าร่วมการนำเสนอผลงานวิจัย ผลงานทางวิชาการ การแสดงผลงานทางศิลปะ การออกแบบสถาปัตยกรรม นวัตกรรม และสิ่งประดิษฐ์ ในการประชุมวิชาการนานาชาติในต่างประเทศ,https://rad.kku.ac.th/Menu_support/presentation.php
การดำเนินการขอทุนและการรับทุนวิจัยจากหน่วยงานภายนอก (Flow Chart) (ภาพรวม),http://www.en.kku.ac.th/web/%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%94%E0%B8%B3%E0%B9%80%E0%B8%99%E0%B8%B4%E0%B8%99%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%82%E0%B8%AD%E0%B8%97%E0%B8%B8%E0%B8%99%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%81%E0%B8%B2/
การทำเอกสารประกอบการยื่นขอรับทุนภายนอก (Flow Chart และแบบฟอร์มเอกสารประกอบ),http://www.en.kku.ac.th/web/%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%97%E0%B8%B3%E0%B9%80%E0%B8%AD%E0%B8%81%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%AD%E0%B8%9A%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%A2%E0%B8%B7/
การทำเอกสารประกอบเมื่อได้รับแจ้งผลอนุมัติทุนแล้ว (Flow Chart และแบบฟอร์มเอกสารประกอบ),http://www.en.kku.ac.th/web/%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%97%E0%B8%B3%E0%B9%80%E0%B8%AD%E0%B8%81%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%AD%E0%B8%9A%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B9%88%E0%B8%AD/
การขอให้ออกใบเสร็จรับเงิน และการขอเบิกจ่ายเงินทุน (Flow Chart และแบบฟอร์มเอกสารประกอบ),http://www.en.kku.ac.th/web/%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%82%E0%B8%AD%E0%B9%83%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%AD%E0%B8%81%E0%B9%83%E0%B8%9A%E0%B9%80%E0%B8%AA%E0%B8%A3%E0%B9%87%E0%B8%88%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B9%80/
สืบค้นผลงานตีพิมพ์,1.Scimago Journal & Country Rank 2.Scopus 3.ศูนย์ดัชนีการอ้างอิงวารสารไทย 4.ISI Web of Science
บทความตีพิมพ์,https://www.en.kku.ac.th/web/2883-2/
แหล่งทุน,https://www.en.kku.ac.th/web/%e0%b9%81%e0%b8%ab%e0%b8%a5%e0%b9%88%e0%b8%87%e0%b8%97%e0%b8%b8%e0%b8%99/
เครื่องมือวิจัย,https://ric.kku.ac.th/
กลุ่ม/ศูนย์วิจัย/สถาบันวิจัยในคณะวิศวกรรมศาสตร์,http://www.en.kku.ac.th/web/%E0%B8%81%E0%B8%A5%E0%B8%B8%E0%B9%88%E0%B8%A1-%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%A7%E0%B8%B4%E0%B8%88%E0%B8%B1%E0%B8%A2-%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%9A%E0%B8%B1%E0%B8%99-2/
ความรู้เบื้องต้นด้านทรัพย์สินทางปัญญา,https://www.en.kku.ac.th/web/%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%A3%E0%B8%B9%E0%B9%89%E0%B9%80%E0%B8%9A%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B8%94%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%97%E0%B8%A3/
ประกาศและระเบียบต่างๆ,https://www.en.kku.ac.th/web/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9A%E0%B8%B5%E0%B8%A2%E0%B8%9A%E0%B8%95%E0%B9%88%E0%B8%B2%E0%B8%87%E0%B9%86/
การขอรับความคุ้มครอง,https://www.en.kku.ac.th/web/%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%82%E0%B8%AD%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%84%E0%B8%B8%E0%B9%89%E0%B8%A1%E0%B8%84%E0%B8%A3%E0%B8%AD%E0%B8%87/
ข้อมูลทรัพย์สินทางปัญญา,https://www.en.kku.ac.th/web/2883-2/
ประกาศแนวปฏิบัติความร่วมมือทางวิชาการ ฉบับที่ 715/2563,https://www.en.kku.ac.th/web/wp-content/uploads/2020/05/1-%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8-715-2563_%E0%B9%81%E0%B8%99%E0%B8%A7%E0%B8%9B%E0%B8%8E%E0%B8%B4%E0%B8%9A%E0%B8%B1%E0%B8%95%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%97%E0%B8%B3%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%A3%E0%B9%88%E0%B8%A7%E0%B8%A1%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%97%E0%B8%B2%E0%B8%87.pdf
แบบฟอร์มบันทึกบันทึกความเข้าใจร่วมมือทางวิชาการ (MOU),https://www.en.kku.ac.th/web/wp-content/uploads/2020/05/2-%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B8%9F%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%A1-MOU-%E0%B8%A0%E0%B8%B2%E0%B8%84%E0%B9%80%E0%B8%AD%E0%B8%81%E0%B8%8A%E0%B8%99-Thai-Version.doc
แบบฟอร์มบันทึกข้อตกลงความร่วมมือ (MOA),https://www.en.kku.ac.th/web/wp-content/uploads/2020/05/4-%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B8%9F%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%A1-MOA-%E0%B8%A0%E0%B8%B2%E0%B8%84%E0%B9%80%E0%B8%AD%E0%B8%81%E0%B8%8A%E0%B8%99-Thai-Version.docx
ขั้นตอนการจัดทำ MOU,https://www.en.kku.ac.th/web/wp-content/uploads/2020/06/%E0%B9%82%E0%B8%9F%E0%B8%A3%E0%B9%8C%E0%B8%8A%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%95-%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%AA%E0%B9%88%E0%B8%87-MOU-%E0%B8%A0%E0%B8%B2%E0%B8%A9%E0%B8%B2%E0%B9%84%E0%B8%97%E0%B8%A2-%E0%B8%A0%E0%B8%B2%E0%B8%A2%E0%B9%83%E0%B8%99%E0%B8%84%E0%B8%93%E0%B8%B0%E0%B8%96%E0%B8%B6%E0%B8%87%E0%B8%A1%E0%B8%82.pdf
ใบคำร้องขอพิจารณา MOU,https://www.en.kku.ac.th/web/wp-content/uploads/2020/11/%E0%B9%83%E0%B8%9A%E0%B8%84%E0%B8%B3%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%82%E0%B8%AD%E0%B8%9E%E0%B8%B4%E0%B8%88%E0%B8%B2%E0%B8%A3%E0%B8%93%E0%B8%B2-MOU-%E0%B8%A0%E0%B8%B2%E0%B8%A9%E0%B8%B2%E0%B9%84%E0%B8%97%E0%B8%A2-Ver-%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%82%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%B9%E0%B8%A5%E0%B8%82%E0%B8%AD%E0%B8%87-%E0%B8%A1%E0%B8%82.pdf
ประกาศการจัดทำ MOU กับสถาบันต่างประเทศ,https://www.en.kku.ac.th/web/wp-content/uploads/2020/05/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B9%81%E0%B8%99%E0%B8%A7%E0%B8%97%E0%B8%B2%E0%B8%87%E0%B8%9B%E0%B8%8F%E0%B8%B4%E0%B8%9A%E0%B8%B1%E0%B8%95%E0%B8%B4-MOU-2.pdf
แบบฟอร์ม MOU กับสถาบันการศึกษา/สถาบันวิจัย/หน่วยงานอื่นๆ,https://www.en.kku.ac.th/web/wp-content/uploads/2020/05/MOU-Templete-_January2016.docx
แบบฟอร์ม MOU กับภาคเอกชน,https://www.en.kku.ac.th/web/wp-content/uploads/2020/05/3-%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B8%9F%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%A1-MOU-%E0%B8%A0%E0%B8%B2%E0%B8%84%E0%B9%80%E0%B8%AD%E0%B8%81%E0%B8%8A%E0%B8%99-Eng-Version.docx
ใบคำร้องขอพิจารณา MOU (อังกฤษ),https://www.en.kku.ac.th/web/wp-content/uploads/2020/08/%E0%B9%83%E0%B8%9A%E0%B8%84%E0%B8%B3%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%82%E0%B8%AD%E0%B8%9E%E0%B8%B4%E0%B8%88%E0%B8%B2%E0%B8%A3%E0%B8%93%E0%B8%B2-MOU-%E0%B8%A0%E0%B8%B2%E0%B8%A9%E0%B8%B2%E0%B8%AD%E0%B8%B1%E0%B8%87%E0%B8%81%E0%B8%A4%E0%B8%A9.pdf
แบบฟอร์มเสนอการจัดทำ MOU,https://drive.google.com/file/d/1YxW0WjhZDoqyiQWZOAUyYeEP_HbTl2hM/view
ขั้นตอนการจัดทำ MOU ของคณะฯ ร่วมกับสถาบันต่างประเทศ,https://www.en.kku.ac.th/web/wp-content/uploads/2020/05/%E0%B8%82%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%95%E0%B8%AD%E0%B8%99%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%88%E0%B8%B1%E0%B8%94%E0%B8%97%E0%B8%B3MOU_%E0%B8%A0%E0%B8%B2%E0%B8%A2%E0%B9%83%E0%B8%99%E0%B8%84%E0%B8%93%E0%B8%B0.docx
Check List เอกสารการนำเสนอการจัดทำ MOU,https://www.en.kku.ac.th/web/wp-content/uploads/2020/05/Check-list-%E0%B9%80%E0%B8%AD%E0%B8%81%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%88%E0%B8%B0%E0%B9%80%E0%B8%AA%E0%B8%99%E0%B8%AD%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%88%E0%B8%B1%E0%B8%94%E0%B8%97%E0%B8%B3-MOU.docx
MOU Q&A,https://iad.kku.ac.th/mou/FAQ-MOU-update-11072017.pdf
ผู้ประสาน MOU ภาษาไทย,คุณจตุพร พิทักษ์พลรัตน์   โทร. 043-009-700 ต่อ 50216 หรือ เบอร์ภายใน  50216    email: pjatup@kku.ac.th
ผู้ประสาน MOU ภาษาอังกฤษ,คุณบุษราภรณ์ อินทร์ตาแสง  โทร. 043-009-700 ต่อ 50215 หรือ เบอร์ภายใน  50215    email: kookkai@kku.ac.th
จตุพร พิทักษ์พลรัตน์   ,ผู้ประสาน MOU ภาษาไทย โทร. 043-009-700 ต่อ 50216 หรือ เบอร์ภายใน  50216    email: pjatup@kku.ac.th
บุษราภรณ์ อินทร์ตาแสง ,ผู้ประสาน MOU ภาษาอังกฤษ โทร. 043-009-700 ต่อ 50215 หรือ เบอร์ภายใน  50215    email: kookkai@kku.ac.th
ระดับการลงนามต้องเป็นระดับมหาวิทยาลัยหรือไม่,หากเป็นข้อตกลงเฉพาะคณะ ให้ลงนามในระดับคณะ แต่สามารถขยายเป็นระดับมหาวิทยาลัยในอนาคตได้ https://ird.kku.ac.th/
ใครเป็นผู้ลงนามในข้อตกลงได้,ต้องเป็นบุคคลที่มีอำนาจลงนามตามประกาศมหาวิทยาลัยขอนแก่น ฉบับที่ 1386/2550
มี template MOU ของมหาวิทยาลัยขอนแก่นหรือไม่,มี สามารถดาวน์โหลดได้ที่ https://ird.kku.ac.th/ เลือกเมนู “MOU” และ “MOU process info.
ข้อตกลงความร่วมมือด้านหลักสูตรร่วมต้องผ่านการอนุมัติจากใคร,ต้องได้รับความเห็นชอบจากคณะกรรมการกลั่นกรองหลักสูตร และคณะกรรมการบริหารมหาวิทยาลัย
MOU ด้านทรัพย์สินทางปัญญาและกฎหมายต้องใช้เวลาดำเนินการนานเท่าใด,ใช้เวลา 4-6 สัปดาห์ และต้องได้รับความเห็นชอบจากที่ปรึกษาด้านกฎหมายของมหาวิทยาลัย
สามารถลงนามใน MOU ก่อนแล้วแจ้งภายหลังได้หรือไม่,ควรรอให้ MOU ได้รับการเห็นชอบก่อนจึงลงนาม หากลงนามก่อน สถานะจะเป็นเพียงการรับทราบ
สามารถตรวจสอบสถานะ MOU ได้อย่างไร,สามารถตรวจสอบได้ในระบบฐานข้อมูล IRIS ที่ http://iris.kku.ac.th/
เครื่องผลิตน้ำมันเบนซินและดีเซลชีวภาพจากยางพาราแบบต่อเนื่อง,https://youtu.be/CX9H-gAj7L4
ระบบขับขี่อัจฉริยะไร้คนขับ,https://youtu.be/LiDLl8ljy4M
ตู้ตรวจสุขภาพอัจฉริยะ “สุขศาลา”,https://www.youtube.com/watch?v=WUQZ7cIr0Qo
รศ.ดร.กิตติพงษ์ ลาลุน,เครื่องผลิตน้ำมันเบนซินและดีเซลชีวภาพจากยางพาราแบบต่อเนื่อง
รศ. ดร.ธนา ราษฎร์ภักดี,ระบบขับขี่อัจฉริยะไร้คนขับ
อ.ดร.ชวิศ ศรีจันทร์,ตู้ตรวจสุขภาพอัจฉริยะ “สุขศาลา”
สารออกฤทธิ์ทางชีวภาพสำหรับชะลอการสุกของผลไม้คืออะไร?,เป็นสารที่ช่วยยืดอายุการเก็บรักษาผลไม้โดยลดอัตราการสุก
ใครเป็นผู้ศึกษาเกี่ยวกับสารออกฤทธิ์ทางชีวภาพสำหรับชะลอการสุกของผลไม้?,รศ. ดร. พรนภา เกษมศิริ จากสาขาวิศวกรรมเคมี
โครงการศึกษาการปรับปรุงองค์กรการบริหารจัดการทรัพยากรน้ำมีใครเป็นผู้ดำเนินการ?,ผศ.ดร.กิตติเวช ขันติยวิชัย
โครงการสร้างภาพย้อนรอยสถานการณ์ความมั่นคงของเส้นทางในพื้นที่เสี่ยงภัยศึกษาโดยใคร?,รศ. ดร.พนกฤษณ คลังบุญครอง
โครงการศึกษาออกแบบรายละเอียดระบบขนส่งสาธารณะในเขตจังหวัดขอนแก่นมีจุดประสงค์อะไร?,เพื่อออกแบบระบบขนส่งให้เหมาะสมและประเมินผลกระทบต่อสิ่งแวดล้อม
การประยุกต์ใช้เทคโนโลยีเซลล์จุลินทรีย์ตรึงใช้ในด้านใด?,ใช้ในงานด้านสิ่งแวดล้อม
โปรแกรมเฝ้าระวังภัยน้ำท่วมภายใต้แบบจำลองอุทกวิทยาคืออะไร?,เป็นแอปพลิเคชันที่ช่วยติดตามและแจ้งเตือนสถานการณ์น้ำท่วม
ระบบควบคุมน้ำอัตโนมัติสำหรับเลี้ยงปลานิลมีประโยชน์อย่างไร?,ช่วยเพิ่มผลผลิต ลดผลกระทบต่อสิ่งแวดล้อม และทำให้การเลี้ยงปลามีประสิทธิภาพมากขึ้น
เครื่อง NIR ใช้วัดอะไร?,ใช้วัดคุณภาพมันสำปะหลังได้อย่างรวดเร็ว
เตาปิ้งย่างไร้ควันมีข้อดีอย่างไร?,ลดควันที่เกิดจากการปิ้งย่าง ทำให้ปลอดภัยต่อสุขภาพและสิ่งแวดล้อม
การให้บริการตรวจวัดสภาพไร่ด้วยภาพถ่ายทางอากาศจากโดรนมีประโยชน์อะไร?,ช่วยเกษตรกรติดตามสภาพไร่ได้แม่นยำและรวดเร็วขึ้น
ระบบควบคุมการทำงานอัตโนมัติคืออะไร?,เป็นระบบที่ใช้เทคโนโลยีคอมพิวเตอร์เพื่อควบคุมการทำงานของเครื่องจักร
นวัตกรรมโดรนเพื่ออุตสาหกรรมอ้อยและน้ำตาลช่วยอะไร?,ช่วยในการดูแลพืชผลและเพิ่มประสิทธิภาพการผลิตอ้อยและน้ำตาล
โปรแกรมตรวจจับผู้ฝ่าฝืนสัญญาณไฟจราจรช่วยลดอุบัติเหตุอย่างไร?,ช่วยตรวจจับและบันทึกข้อมูลของผู้ฝ่าฝืนเพื่อใช้ในการบังคับใช้กฎหมาย
ระบบการบริหารจัดการน้ำในไร่อ้อยมีเป้าหมายอะไร?,เพื่อเพิ่มประสิทธิภาพการใช้น้ำและสนับสนุนการผลิตอ้อยอย่างยั่งยืน
เครื่องพิมพ์สามมิติสามารถใช้ทำอะไรได้บ้าง?,สามารถสร้างชิ้นส่วนต้นแบบและผลิตชิ้นงานที่ซับซ้อนได้
โครงการศึกษาออกแบบรายละเอียดระบบขนส่งสาธารณะในเขตจังหวัดขอนแก่นและผลกระทบสิ่งแวดล้อม,การศึกษาและออกแบบระบบขนส่งสาธารณะ
การประยุกต์ใช้เทคโนโลยีเซลล์จุลินทรีย์ตรึง เพื่องานด้านสิ่งแวดล้อม,วิจัยเทคโนโลยีเซลล์จุลินทรีย์สำหรับสิ่งแวดล้อม
โครงการศึกษาติดตามและประเมินผลการบริหารจัดการทรัพยากรน้ำ,การศึกษาและติดตามการจัดการทรัพยากรน้ำ
โปรแกรมและแอปพลิเคชั่นเฝ้าระวังภัยน้ำท่วมภายใต้แบบจำลองอุทกวิทยา,พัฒนาโปรแกรมเฝ้าระวังน้ำท่วม
ระบบต้นแบบเพื่อผลิตน้ำแข็งให้เกิดประสิทธิภาพ,พัฒนาระบบการผลิตน้ำแข็งที่มีประสิทธิภาพ
รศ. ดร.พนกฤษณ คลังบุญครอง (สาขาวิชาวิศวกรรมโยธา),โครงการศึกษาออกแบบรายละเอียดระบบขนส่งสาธารณะในเขตจังหวัดขอนแก่นและผลกระทบสิ่งแวดล้อม
รศ. ดร. สุมนา ราษฎร์ภักดี (สาขาวิชาวิศวกรรมสิ่งแวดล้อม),การประยุกต์ใช้เทคโนโลยีเซลล์จุลินทรีย์ตรึง เพื่องานด้านสิ่งแวดล้อม
